ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906218604,"ООО ""Е-ТИКЕТС СЕРВИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е-ТИКЕТС СЕРВИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""Е-ТИКЕТС СЕРВИС""",,321978000,5697288,12,Да,
3906400490,"ООО ""РИТЕЙЛ-ПРОЦЕССИНГ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТЕЙЛ-ПРОЦЕССИНГ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РИТЕЙЛ-ПРОЦЕССИНГ""",,167705000,5538392,17,Да,
3906255187,"ООО ""АЙТИ СПЕЙШЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИ СПЕЙШЛ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИ СПЕЙШЛ""",,142220000,5310285,43,Да,
3906954940,"ООО ""КЁНИГ ЛАБС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЁНИГ ЛАБС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КЁНИГ ЛАБС""",,113029000,5221056,27,Нет,
3906370567,"ООО ""ТОРТУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРТУ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ТОРТУ""",,213727000,4786235,55,Да,
9703039008,"ООО ""РИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РИС""",,71975000,4310151,17,Нет,
3906117613,"ООО ""ФЕЛЕНАСОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЕЛЕНАСОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ФЕЛЕНАСОФТ""",,124804000,4098632,29,Да,
6670372647,"ООО ""КФ-СИСТЕМС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КФ-СИСТЕМС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КФ-СИСТЕМС""",,48125000,3897413,5,Нет,
3904614313,"ООО ""КД СОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КД СОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КД СОФТ""",,81086000,3690122,17,Да,
7017297754,"ООО ""МЕДИАЛУКС СОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИАЛУКС СОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МЕДИАЛУКС СОФТ""",,59246000,3649660,16,Да,
5260362996,"ООО ""ФЛЕКСБИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛЕКСБИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ФЛЕКСБИ""",,97341000,3370814,17,Да,
3906305952,"ООО ""ТОРТУГА ТИМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРТУГА ТИМ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ТОРТУГА ТИМ""",,87316000,3249747,5,Да,
3906962690,"ООО ""КВИННС ДЕВЕЛОПМЕНТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВИННС ДЕВЕЛОПМЕНТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КВИННС ДЕВЕЛОПМЕНТ""",,21390000,3212351,22,Да,
3904048795,"ООО ""ИНОК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНОК""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИНОК""",,99755000,3173346,53,Да,
3906384231,"ООО ""8Й МОСТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""8Й МОСТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""8Й МОСТ""",,108688000,3004199,14,Да,
3906375519,"ООО ""МК-БИЗНЕС ОНЛАЙН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МК-БИЗНЕС ОНЛАЙН""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МК-БИЗНЕС ОНЛАЙН""",,29743000,2739487,4,Нет,
3906359933,"ООО ""АЛЬПОСОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬПОСОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АЛЬПОСОФТ""",,78702000,2446115,11,Да,
3906399703,"ООО ""СИГИС ТЕХНОЛОГИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГИС ТЕХНОЛОГИИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СИГИС ТЕХНОЛОГИИ""",,22438000,2300784,14,Нет,
3906381255,"ООО ""ДИ-ИКС-ДО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИ-ИКС-ДО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДИ-ИКС-ДО""",,23638000,2264807,15,Да,
3906986892,"ООО ""ЕТС ИНТЕРНЕЙШНЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕТС ИНТЕРНЕЙШНЛ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЕТС ИНТЕРНЕЙШНЛ""",,66923000,1859733,15,Нет,
3906372290,"ООО ""БЕЛОЕ ОЗЕРО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛОЕ ОЗЕРО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БЕЛОЕ ОЗЕРО""",,97339000,1709089,2,Нет,
3906906061,"ООО ""РС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭДСТАРТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РС""",,28892000,1681189,11,Да,
