ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906395610,"ООО ""ИКАС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИКАС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИКАС""",,3897000,314772,2,Да,
3906379908,"ООО ""АЙТИБАЛТИК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИБАЛТИК""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИБАЛТИК""",,105830000,298872,4,Да,
3906396406,"ООО ""РОБОТ ИКС ТЕХНОЛОДЖИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОТ ИКС ТЕХНОЛОДЖИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РОБОТ ИКС ТЕХНОЛОДЖИ""",,102939000,289820,1,Да,
3912015271,"ООО ""ДИАСИСТЕМС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАСИСТЕМС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДИАСИСТЕМС""",,1453000,277707,2,Да,
3906257089,"ООО ""БЕРИЛЛ КОМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРИЛЛ КОМ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БЕРИЛЛ КОМ""",,31569000,258097,1,Да,
3920800518,"ООО ""ДНТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДНТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДНТ""",,26433000,245176,11,Да,
3906356643,"ООО ""ИТЕРАЦИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЕРАЦИЯ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИТЕРАЦИЯ""",,13407000,216686,17,Да,
3906407760,"ООО ""РОС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАЗРАБОТЧИК ОТЕЧЕСТВЕННОГО СОФТА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РОС""",,6238000,207369,7,Да,
3906326800,"ООО ""ТРИАКСЕС ЛАЙН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИАКСЕС ЛАЙН""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ТРИАКСЕС ЛАЙН""",,8179000,191431,3,Да,
3906213356,"ООО ""ЮНИКОМ ЗАПАД""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИКОМ ЗАПАД""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЮНИКОМ ЗАПАД""",,6255000,153434,6,Да,
3906404390,"ООО ""АУДИТПРОСЕРВИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АУДИТПРОСЕРВИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АУДИТПРОСЕРВИС""",,675000,152561,1,Да,
3917053520,"ООО ""ЦВР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВЫЕ ВЕБ РЕШЕНИЯ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЦВР""",,2480000,149930,1,Да,
7727443696,"ООО ""ФОДИЛЕР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОДИЛЕР""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ФОДИЛЕР""",,2616000,132811,1,Да,
3906343411,"ООО ""АРНЭЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРНЭЯ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АРНЭЯ""",,3795000,121919,3,Да,
3906407619,"ООО ""АЙТИСИ ВЕКТОР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИСИ ВЕКТОР""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИСИ ВЕКТОР""",,1482000,81881,1,Да,
3906394504,"ООО ""МОБИЛИТИКА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБИЛИТИКА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МОБИЛИТИКА""",,10197000,69873,3,Да,
3906120670,"ООО ""СМС МЕДИА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМС МЕДИА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СМС МЕДИА""",,4501000,64139,5,Да,
3906379760,"ООО ""ФОН ШТИРЛИЦ И ДРУЗЬЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОН ШТИРЛИЦ И ДРУЗЬЯ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""ФОН ШТИРЛИЦ И ДРУЗЬЯ""",,3099000,49640,0,Нет,
3906169019,"ООО ""АКТИВ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АКТИВ""",,2365000,43662,1,Да,
3906362044,"ООО ""ФЕСТТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЕСТТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ФЕСТТ""",,688000,41410,2,Да,
3906348040,"ООО ""БЭКОРДЕР.РУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЭКОРДЕР.РУ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БЭКОРДЕР.РУ""",,126487000,34620,1,Да,
3906407545,"ООО ""ХЕРМОН ГРУПП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХЕРМОН ГРУПП""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ХЕРМОН ГРУПП""",,8496000,19719,4,Да,
3906384961,"ООО ""КНТ ФАКЕЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛУБ НАСТОЛЬНОГО ТЕННИСА ФАКЕЛ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""КНТ ФАКЕЛ""",,0,500,1,Да,
