Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"ООО ""КРЕОНИТ""",2222836248,1152223007782,222283624,"236029,Калининградская область,г Калининград,Ганзейский пер, д. 72, кв. 80",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СИСТЕХ""",3906372405,1183926023621,390637240,"236029,Калининградская область,г Калининград,ул А.Невского, д. 214, офис1",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""Е-ТИКЕТС СЕРВИС""",3906218604,1103925014269,390621860,"236022,Калининградская область,город Калининград,ул. Генерал-лейтенанта Озерова, д. 19 к. 25, помещ. 36",Действующая,Да,,13 334 руб,,1 млн руб.,rusprofile
"ООО ""РИТЕЙЛ-ПРОЦЕССИНГ""",3906400490,1213900003492,390640049,"236014,Калининградская область,г Калининград,Советский пр-кт, зд. 234, помещ.4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙТИ СПЕЙШЛ""",3906255187,1113926048290,390625518,"236010,Калининградская область,г Калининград,Красносельская ул, д. 82 к. 1, кв. 71",Действующая,Да,,"5 259 555,14 руб",,1 млн руб.,rusprofile
"ООО ""КЁНИГ ЛАБС""",3906954940,1153926005727,390695494,"236022,Калининградская область,г Калининград,пр-кт Мира, д. 33-35, помещ.2",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ТОРТУ""",3906370567,1183926020585,390637056,"236021,Калининградская область,г Калининград,ул Полковника Ефремова, д. 9, кв. 32,33",Действующая,Да,,15 000 руб,,1 млн руб.,rusprofile
"ООО ""РИС""",9703039008,1217700308320,970303900,"236022,Калининградская область,г Калининград,ул Чкалова, д. 1а",Действующая,Да,,12 000 руб,,1 млн руб.,rusprofile
"ООО ""ФЕЛЕНАСОФТ""",3906117613,1043902800490,390611761,"236043,Калининградская область,г Калининград,Флотская ул, д. 9, кв. 386",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КФ-СИСТЕМС""",6670372647,1126670008926,667037264,"236022,Калининградская область,город Калининград,пр-кт Мира, д. 7 литер а1а1 этаж 5, офис 513",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КД СОФТ""",3904614313,1103926001960,390461431,"236008,Калининградская область,город Калининград,Театральная ул., д. 35, офис 324",Действующая,Да,,20 000 руб,,1 млн руб.,rusprofile
"ООО ""МЕДИАЛУКС СОФТ""",7017297754,1117017028523,701729775,"236041,Калининградская область,город Калининград,ул. А.Невского, д. 59, помещ. 10",Действующая,Да,,100 000 руб,,1 млн руб.,rusprofile
"ООО ""ФЛЕКСБИ""",5260362996,1135260010654,526036299,"236022,Калининградская область,г Калининград,ул Генерал-Лейтенанта Озерова, д. 17б, помещ. XIII (1)",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ТОРТУГА ТИМ""",3906305952,1133926036276,390630595,"236005,Калининградская область,город Калининград,ул. Маршала Новикова, д. 13, кв. 63",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КВИННС ДЕВЕЛОПМЕНТ""",3906962690,1153926016870,390696269,"236029,Калининградская область,город Калининград,ул. Генерала Раевского, д. 4, офисV",Действующая,Да,,20 000 руб,,1 млн руб.,rusprofile
